"Indicador","Ano","UF","Numerador - Obitos em menores de 5 anos estimados","Denominador - Nascidos vivos estimados","Fator"
"MRT.1.05",2005,17,905.0,28876.0,1000
"MRT.1.05",2005,21,5728.0,153384.0,1000
"MRT.1.05",2005,22,1963.0,60413.0,1000
"MRT.1.05",2005,23,4094.0,149666.0,1000
"MRT.1.05",2005,24,1649.0,56515.0,1000
"MRT.1.05",2005,25,2073.0,68889.0,1000
"MRT.1.05",2005,26,4652.0,161062.0,1000
"MRT.1.05",2005,27,2255.0,66162.0,1000
"MRT.1.05",2005,28,1257.0,38480.0,1000
"MRT.1.05",2005,29,8394.0,251363.0,1000
"MRT.1.05",2005,31,6897.0,293542.0,1000
"MRT.1.05",2005,32,961.0,54736.0,1000
"MRT.1.05",2005,33,4201.0,224579.0,1000
"MRT.1.05",2005,35,9790.0,622698.0,1000
"MRT.1.05",2005,41,2727.0,159498.0,1000
"MRT.1.05",2005,42,1260.0,87129.0,1000
"MRT.1.05",2005,43,2363.0,149358.0,1000
"MRT.1.05",2005,50,957.0,42166.0,1000
"MRT.1.05",2005,51,1538.0,57787.0,1000
"MRT.1.05",2005,52,2205.0,97325.0,1000
"MRT.1.05",2005,53,689.0,46121.0,1000
"MRT.1.05",2006,11,793.0,28797.0,1000
"MRT.1.05",2006,12,503.0,19041.0,1000
"MRT.1.05",2006,13,2445.0,82067.0,1000
"MRT.1.05",2006,14,292.0,10743.0,1000
"MRT.1.05",2006,15,5090.0,168414.0,1000
"MRT.1.05",2006,16,480.0,16501.0,1000
"MRT.1.05",2006,17,843.0,28562.0,1000
"MRT.1.05",2006,21,4732.0,148468.0,1000
"MRT.1.05",2006,22,1752.0,60054.0,1000
"MRT.1.05",2006,23,3779.0,145333.0,1000
"MRT.1.05",2006,24,1320.0,53771.0,1000
"MRT.1.05",2006,25,1771.0,65873.0,1000
"MRT.1.05",2006,26,3919.0,155414.0,1000
"MRT.1.05",2006,27,1850.0,63028.0,1000
